researcher_id,researcher_name,paper_count,paper_ids,categories,research_text
Di Shi,Di Shi,1,http://arxiv.org/abs/2012.13026v1,cs.AI,"rethink ai-based power grid control: diving into algorithm design. recently, deep reinforcement learning (drl)-based approach has shown promisein solving complex decision and control problems in power engineering domain.in this paper, we present an in-depth analysis of drl-based voltage control fromaspects of algorithm selection, state space representation, and reward engineering.to resolve observed issues, we propose a novel imitation learning-based approachto directly map power grid operating points to effective actions without any interimreinforcement learning process. the performance results demonstrate that theproposed approach has strong generalization ability with much less training time.the agent trained by imitation learning is effective and robust to solve voltagecontrol problem and outperforms the former rl agents."
Danny Keller,Danny Keller,1,http://arxiv.org/abs/2012.13293v1,cs.AI;cs.CR,"fuzzy commitments offer insufficient protection to biometric templates produced by deep learning. in this work, we study the protection that fuzzy commitments offer when they are applied to facial images, processed by the state of the art deep learning facial recognition systems. we show that while these systems are capable of producing great accuracy, they produce templates of too little entropy. as a result, we present a reconstruction attack that takes a protected template, and reconstructs a facial image. the reconstructed facial images greatly resemble the original ones. in the simplest attack scenario, more than 78% of these reconstructed templates succeed in unlocking an account (when the system is configured to 0.1% far). even in the ""hardest"" settings (in which we take a reconstructed image from one system and use it in a different system, with different feature extraction process) the reconstructed image offers 50 to 120 times higher success rates than the system's far."
Margarita Osadchy,Margarita Osadchy,1,http://arxiv.org/abs/2012.13293v1,cs.AI;cs.CR,"fuzzy commitments offer insufficient protection to biometric templates produced by deep learning. in this work, we study the protection that fuzzy commitments offer when they are applied to facial images, processed by the state of the art deep learning facial recognition systems. we show that while these systems are capable of producing great accuracy, they produce templates of too little entropy. as a result, we present a reconstruction attack that takes a protected template, and reconstructs a facial image. the reconstructed facial images greatly resemble the original ones. in the simplest attack scenario, more than 78% of these reconstructed templates succeed in unlocking an account (when the system is configured to 0.1% far). even in the ""hardest"" settings (in which we take a reconstructed image from one system and use it in a different system, with different feature extraction process) the reconstructed image offers 50 to 120 times higher success rates than the system's far."
Orr Dunkelman,Orr Dunkelman,1,http://arxiv.org/abs/2012.13293v1,cs.AI;cs.CR,"fuzzy commitments offer insufficient protection to biometric templates produced by deep learning. in this work, we study the protection that fuzzy commitments offer when they are applied to facial images, processed by the state of the art deep learning facial recognition systems. we show that while these systems are capable of producing great accuracy, they produce templates of too little entropy. as a result, we present a reconstruction attack that takes a protected template, and reconstructs a facial image. the reconstructed facial images greatly resemble the original ones. in the simplest attack scenario, more than 78% of these reconstructed templates succeed in unlocking an account (when the system is configured to 0.1% far). even in the ""hardest"" settings (in which we take a reconstructed image from one system and use it in a different system, with different feature extraction process) the reconstructed image offers 50 to 120 times higher success rates than the system's far."
Maria-Florina Balcan,Maria-Florina Balcan,1,http://arxiv.org/abs/2012.13315v1,cs.AI,"generalization in portfolio-based algorithm selection. portfolio-based algorithm selection has seen tremendous practical success over the past two decades. this algorithm configuration procedure works by first selecting a portfolio of diverse algorithm parameter settings, and then, on a given problem instance, using an algorithm selector to choose a parameter setting from the portfolio with strong predicted performance. oftentimes, both the portfolio and the algorithm selector are chosen using a training set of typical problem instances from the application domain at hand. in this paper, we provide the first provable guarantees for portfolio-based algorithm selection. we analyze how large the training set should be to ensure that the resulting algorithm selector's average performance over the training set is close to its future (expected) performance. this involves analyzing three key reasons why these two quantities may diverge: 1) the learning-theoretic complexity of the algorithm selector, 2) the size of the portfolio, and 3) the learning-theoretic complexity of the algorithm's performance as a function of its parameters. we introduce an end-to-end learning-theoretic analysis of the portfolio construction and algorithm selection together. we prove that if the portfolio is large, overfitting is inevitable, even with an extremely simple algorithm selector. with experiments, we illustrate a tradeoff exposed by our theoretical analysis: as we increase the portfolio size, we can hope to include a well-suited parameter setting for every possible problem instance, but it becomes impossible to avoid overfitting."
Tuomas Sandholm,Tuomas Sandholm,1,http://arxiv.org/abs/2012.13315v1,cs.AI,"generalization in portfolio-based algorithm selection. portfolio-based algorithm selection has seen tremendous practical success over the past two decades. this algorithm configuration procedure works by first selecting a portfolio of diverse algorithm parameter settings, and then, on a given problem instance, using an algorithm selector to choose a parameter setting from the portfolio with strong predicted performance. oftentimes, both the portfolio and the algorithm selector are chosen using a training set of typical problem instances from the application domain at hand. in this paper, we provide the first provable guarantees for portfolio-based algorithm selection. we analyze how large the training set should be to ensure that the resulting algorithm selector's average performance over the training set is close to its future (expected) performance. this involves analyzing three key reasons why these two quantities may diverge: 1) the learning-theoretic complexity of the algorithm selector, 2) the size of the portfolio, and 3) the learning-theoretic complexity of the algorithm's performance as a function of its parameters. we introduce an end-to-end learning-theoretic analysis of the portfolio construction and algorithm selection together. we prove that if the portfolio is large, overfitting is inevitable, even with an extremely simple algorithm selector. with experiments, we illustrate a tradeoff exposed by our theoretical analysis: as we increase the portfolio size, we can hope to include a well-suited parameter setting for every possible problem instance, but it becomes impossible to avoid overfitting."
Ellen Vitercik,Ellen Vitercik,1,http://arxiv.org/abs/2012.13315v1,cs.AI,"generalization in portfolio-based algorithm selection. portfolio-based algorithm selection has seen tremendous practical success over the past two decades. this algorithm configuration procedure works by first selecting a portfolio of diverse algorithm parameter settings, and then, on a given problem instance, using an algorithm selector to choose a parameter setting from the portfolio with strong predicted performance. oftentimes, both the portfolio and the algorithm selector are chosen using a training set of typical problem instances from the application domain at hand. in this paper, we provide the first provable guarantees for portfolio-based algorithm selection. we analyze how large the training set should be to ensure that the resulting algorithm selector's average performance over the training set is close to its future (expected) performance. this involves analyzing three key reasons why these two quantities may diverge: 1) the learning-theoretic complexity of the algorithm selector, 2) the size of the portfolio, and 3) the learning-theoretic complexity of the algorithm's performance as a function of its parameters. we introduce an end-to-end learning-theoretic analysis of the portfolio construction and algorithm selection together. we prove that if the portfolio is large, overfitting is inevitable, even with an extremely simple algorithm selector. with experiments, we illustrate a tradeoff exposed by our theoretical analysis: as we increase the portfolio size, we can hope to include a well-suited parameter setting for every possible problem instance, but it becomes impossible to avoid overfitting."
Yixin Nie,Yixin Nie,1,http://arxiv.org/abs/2012.13391v2,cs.AI;cs.CL;cs.LG,"i like fish, especially dolphins: addressing contradictions in dialogue modeling. to quantify how well natural language understanding models can capture consistency in a general conversation, we introduce the dialogue contradiction detection task (decode) and a new conversational dataset containing both human-human and human-bot contradictory dialogues. we then compare a structured utterance-based approach of using pre-trained transformer models for contradiction detection with the typical unstructured approach. results reveal that: (i) our newly collected dataset is notably more effective at providing supervision for the dialogue contradiction detection task than existing nli data including those aimed to cover the dialogue domain; (ii) the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues than its unstructured counterpart. we also show that our best contradiction detection model correlates well with human judgments and further provide evidence for its usage in both automatically evaluating and improving the consistency of state-of-the-art generative chatbots."
Mary Williamson,Mary Williamson,1,http://arxiv.org/abs/2012.13391v2,cs.AI;cs.CL;cs.LG,"i like fish, especially dolphins: addressing contradictions in dialogue modeling. to quantify how well natural language understanding models can capture consistency in a general conversation, we introduce the dialogue contradiction detection task (decode) and a new conversational dataset containing both human-human and human-bot contradictory dialogues. we then compare a structured utterance-based approach of using pre-trained transformer models for contradiction detection with the typical unstructured approach. results reveal that: (i) our newly collected dataset is notably more effective at providing supervision for the dialogue contradiction detection task than existing nli data including those aimed to cover the dialogue domain; (ii) the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues than its unstructured counterpart. we also show that our best contradiction detection model correlates well with human judgments and further provide evidence for its usage in both automatically evaluating and improving the consistency of state-of-the-art generative chatbots."
Mohit Bansal,Mohit Bansal,1,http://arxiv.org/abs/2012.13391v2,cs.AI;cs.CL;cs.LG,"i like fish, especially dolphins: addressing contradictions in dialogue modeling. to quantify how well natural language understanding models can capture consistency in a general conversation, we introduce the dialogue contradiction detection task (decode) and a new conversational dataset containing both human-human and human-bot contradictory dialogues. we then compare a structured utterance-based approach of using pre-trained transformer models for contradiction detection with the typical unstructured approach. results reveal that: (i) our newly collected dataset is notably more effective at providing supervision for the dialogue contradiction detection task than existing nli data including those aimed to cover the dialogue domain; (ii) the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues than its unstructured counterpart. we also show that our best contradiction detection model correlates well with human judgments and further provide evidence for its usage in both automatically evaluating and improving the consistency of state-of-the-art generative chatbots."
Douwe Kiela,Douwe Kiela,1,http://arxiv.org/abs/2012.13391v2,cs.AI;cs.CL;cs.LG,"i like fish, especially dolphins: addressing contradictions in dialogue modeling. to quantify how well natural language understanding models can capture consistency in a general conversation, we introduce the dialogue contradiction detection task (decode) and a new conversational dataset containing both human-human and human-bot contradictory dialogues. we then compare a structured utterance-based approach of using pre-trained transformer models for contradiction detection with the typical unstructured approach. results reveal that: (i) our newly collected dataset is notably more effective at providing supervision for the dialogue contradiction detection task than existing nli data including those aimed to cover the dialogue domain; (ii) the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues than its unstructured counterpart. we also show that our best contradiction detection model correlates well with human judgments and further provide evidence for its usage in both automatically evaluating and improving the consistency of state-of-the-art generative chatbots."
Jason Weston,Jason Weston,1,http://arxiv.org/abs/2012.13391v2,cs.AI;cs.CL;cs.LG,"i like fish, especially dolphins: addressing contradictions in dialogue modeling. to quantify how well natural language understanding models can capture consistency in a general conversation, we introduce the dialogue contradiction detection task (decode) and a new conversational dataset containing both human-human and human-bot contradictory dialogues. we then compare a structured utterance-based approach of using pre-trained transformer models for contradiction detection with the typical unstructured approach. results reveal that: (i) our newly collected dataset is notably more effective at providing supervision for the dialogue contradiction detection task than existing nli data including those aimed to cover the dialogue domain; (ii) the structured utterance-based approach is more robust and transferable on both analysis and out-of-distribution dialogues than its unstructured counterpart. we also show that our best contradiction detection model correlates well with human judgments and further provide evidence for its usage in both automatically evaluating and improving the consistency of state-of-the-art generative chatbots."
Jie Li,Jie Li,1,http://arxiv.org/abs/2012.12447v1,cs.AI;cs.CV,"skeleton-based approaches based on machine vision: a survey. recently, skeleton-based approaches have achieved rapid progress on the basis of great success in skeleton representation. plenty of researches focus on solving specific problems according to skeleton features. some skeleton-based approaches have been mentioned in several overviews on object detection as a non-essential part. nevertheless, there has not been any thorough analysis of skeleton-based approaches attentively. instead of describing these techniques in terms of theoretical constructs, we devote to summarizing skeleton-based approaches with regard to application fields and given tasks as comprehensively as possible. this paper is conducive to further understanding of skeleton-based application and dealing with particular issues."
Binglin Li,Binglin Li,1,http://arxiv.org/abs/2012.12447v1,cs.AI;cs.CV,"skeleton-based approaches based on machine vision: a survey. recently, skeleton-based approaches have achieved rapid progress on the basis of great success in skeleton representation. plenty of researches focus on solving specific problems according to skeleton features. some skeleton-based approaches have been mentioned in several overviews on object detection as a non-essential part. nevertheless, there has not been any thorough analysis of skeleton-based approaches attentively. instead of describing these techniques in terms of theoretical constructs, we devote to summarizing skeleton-based approaches with regard to application fields and given tasks as comprehensively as possible. this paper is conducive to further understanding of skeleton-based application and dealing with particular issues."
Min Gao,Min Gao,1,http://arxiv.org/abs/2012.12447v1,cs.AI;cs.CV,"skeleton-based approaches based on machine vision: a survey. recently, skeleton-based approaches have achieved rapid progress on the basis of great success in skeleton representation. plenty of researches focus on solving specific problems according to skeleton features. some skeleton-based approaches have been mentioned in several overviews on object detection as a non-essential part. nevertheless, there has not been any thorough analysis of skeleton-based approaches attentively. instead of describing these techniques in terms of theoretical constructs, we devote to summarizing skeleton-based approaches with regard to application fields and given tasks as comprehensively as possible. this paper is conducive to further understanding of skeleton-based application and dealing with particular issues."
Simin Liu,Simin Liu,1,http://arxiv.org/abs/2012.12634v1,cs.AI,"overview of fpga deep learning acceleration based on convolutional neural network. in recent years, deep learning has become more and more mature, and as a commonly used algorithm in deep learning, convolutional neural networks have been widely used in various visual tasks. in the past, research based on deep learning algorithms mainly relied on hardware such as gpus and cpus. however, with the increasing development of fpgas, both field programmable logic gate arrays, it has become the main implementation hardware platform that combines various neural network deep learning algorithms this article is a review article, which mainly introduces the related theories and algorithms of convolution. it summarizes the application scenarios of several existing fpga technologies based on convolutional neural networks, and mainly introduces the application of accelerators. at the same time, it summarizes some accelerators' under-utilization of logic resources or under-utilization of memory bandwidth, so that they can't get the best performance."
Rijk Mercuur,Rijk Mercuur,1,http://arxiv.org/abs/2012.11903v1,cs.AI;cs.MA,"modelling human routines: conceptualising social practice theory for agent-based simulation. our routines play an important role in a wide range of social challenges such as climate change, disease outbreaks and coordinating staff and patients in a hospital. to use agent-based simulations (abs) to understand the role of routines in social challenges we need an agent framework that integrates routines. this paper provides the domain-independent social practice agent (sopra) framework that satisfies requirements from the literature to simulate our routines. by choosing the appropriate concepts from the literature on agent theory, social psychology and social practice theory we ensure sopra correctly depicts current evidence on routines. by creating a consistent, modular and parsimonious framework suitable for multiple domains we enhance the usability of sopra. sopra provides abs researchers with a conceptual, formal and computational framework to simulate routines and gain new insights into social systems."
Virginia Dignum,Virginia Dignum,1,http://arxiv.org/abs/2012.11903v1,cs.AI;cs.MA,"modelling human routines: conceptualising social practice theory for agent-based simulation. our routines play an important role in a wide range of social challenges such as climate change, disease outbreaks and coordinating staff and patients in a hospital. to use agent-based simulations (abs) to understand the role of routines in social challenges we need an agent framework that integrates routines. this paper provides the domain-independent social practice agent (sopra) framework that satisfies requirements from the literature to simulate our routines. by choosing the appropriate concepts from the literature on agent theory, social psychology and social practice theory we ensure sopra correctly depicts current evidence on routines. by creating a consistent, modular and parsimonious framework suitable for multiple domains we enhance the usability of sopra. sopra provides abs researchers with a conceptual, formal and computational framework to simulate routines and gain new insights into social systems."
Catholijn M. Jonker,Catholijn M. Jonker,1,http://arxiv.org/abs/2012.11903v1,cs.AI;cs.MA,"modelling human routines: conceptualising social practice theory for agent-based simulation. our routines play an important role in a wide range of social challenges such as climate change, disease outbreaks and coordinating staff and patients in a hospital. to use agent-based simulations (abs) to understand the role of routines in social challenges we need an agent framework that integrates routines. this paper provides the domain-independent social practice agent (sopra) framework that satisfies requirements from the literature to simulate our routines. by choosing the appropriate concepts from the literature on agent theory, social psychology and social practice theory we ensure sopra correctly depicts current evidence on routines. by creating a consistent, modular and parsimonious framework suitable for multiple domains we enhance the usability of sopra. sopra provides abs researchers with a conceptual, formal and computational framework to simulate routines and gain new insights into social systems."
Yan Gao,Yan Gao,1,http://arxiv.org/abs/2012.13569v1,cs.AI;cs.IR,"dynamic-k recommendation with personalized decision boundary. in this paper, we investigate the recommendation task in the most common scenario with implicit feedback (e.g., clicks, purchases). state-of-the-art methods in this direction usually cast the problem as to learn a personalized ranking on a set of items (e.g., webpages, products). the top-n results are then provided to users as recommendations, where the n is usually a fixed number pre-defined by the system according to some heuristic criteria (e.g., page size, screen size). there is one major assumption underlying this fixed-number recommendation scheme, i.e., there are always sufficient relevant items to users' preferences. unfortunately, this assumption may not always hold in real-world scenarios. in some applications, there might be very limited candidate items to recommend, and some users may have very high relevance requirement in recommendation. in this way, even the top-1 ranked item may not be relevant to a user's preference. therefore, we argue that it is critical to provide a dynamic-k recommendation, where the k should be different with respect to the candidate item set and the target user. we formulate this dynamic-k recommendation task as a joint learning problem with both ranking and classification objectives. the ranking objective is the same as existing methods, i.e., to create a ranking list of items according to users' interests. the classification objective is unique in this work, which aims to learn a personalized decision boundary to differentiate the relevant items from irrelevant items. based on these ideas, we extend two state-of-the-art ranking-based recommendation methods, i.e., bprmf and hrm, to the corresponding dynamic-k versions, namely dk-bprmf and dk-hrm. our experimental results on two datasets show that the dynamic-k models are more effective than the original fixed-n recommendation methods."
Jiafeng Guo,Jiafeng Guo,1,http://arxiv.org/abs/2012.13569v1,cs.AI;cs.IR,"dynamic-k recommendation with personalized decision boundary. in this paper, we investigate the recommendation task in the most common scenario with implicit feedback (e.g., clicks, purchases). state-of-the-art methods in this direction usually cast the problem as to learn a personalized ranking on a set of items (e.g., webpages, products). the top-n results are then provided to users as recommendations, where the n is usually a fixed number pre-defined by the system according to some heuristic criteria (e.g., page size, screen size). there is one major assumption underlying this fixed-number recommendation scheme, i.e., there are always sufficient relevant items to users' preferences. unfortunately, this assumption may not always hold in real-world scenarios. in some applications, there might be very limited candidate items to recommend, and some users may have very high relevance requirement in recommendation. in this way, even the top-1 ranked item may not be relevant to a user's preference. therefore, we argue that it is critical to provide a dynamic-k recommendation, where the k should be different with respect to the candidate item set and the target user. we formulate this dynamic-k recommendation task as a joint learning problem with both ranking and classification objectives. the ranking objective is the same as existing methods, i.e., to create a ranking list of items according to users' interests. the classification objective is unique in this work, which aims to learn a personalized decision boundary to differentiate the relevant items from irrelevant items. based on these ideas, we extend two state-of-the-art ranking-based recommendation methods, i.e., bprmf and hrm, to the corresponding dynamic-k versions, namely dk-bprmf and dk-hrm. our experimental results on two datasets show that the dynamic-k models are more effective than the original fixed-n recommendation methods."
Yanyan Lan,Yanyan Lan,1,http://arxiv.org/abs/2012.13569v1,cs.AI;cs.IR,"dynamic-k recommendation with personalized decision boundary. in this paper, we investigate the recommendation task in the most common scenario with implicit feedback (e.g., clicks, purchases). state-of-the-art methods in this direction usually cast the problem as to learn a personalized ranking on a set of items (e.g., webpages, products). the top-n results are then provided to users as recommendations, where the n is usually a fixed number pre-defined by the system according to some heuristic criteria (e.g., page size, screen size). there is one major assumption underlying this fixed-number recommendation scheme, i.e., there are always sufficient relevant items to users' preferences. unfortunately, this assumption may not always hold in real-world scenarios. in some applications, there might be very limited candidate items to recommend, and some users may have very high relevance requirement in recommendation. in this way, even the top-1 ranked item may not be relevant to a user's preference. therefore, we argue that it is critical to provide a dynamic-k recommendation, where the k should be different with respect to the candidate item set and the target user. we formulate this dynamic-k recommendation task as a joint learning problem with both ranking and classification objectives. the ranking objective is the same as existing methods, i.e., to create a ranking list of items according to users' interests. the classification objective is unique in this work, which aims to learn a personalized decision boundary to differentiate the relevant items from irrelevant items. based on these ideas, we extend two state-of-the-art ranking-based recommendation methods, i.e., bprmf and hrm, to the corresponding dynamic-k versions, namely dk-bprmf and dk-hrm. our experimental results on two datasets show that the dynamic-k models are more effective than the original fixed-n recommendation methods."
Huaming Liao,Huaming Liao,1,http://arxiv.org/abs/2012.13569v1,cs.AI;cs.IR,"dynamic-k recommendation with personalized decision boundary. in this paper, we investigate the recommendation task in the most common scenario with implicit feedback (e.g., clicks, purchases). state-of-the-art methods in this direction usually cast the problem as to learn a personalized ranking on a set of items (e.g., webpages, products). the top-n results are then provided to users as recommendations, where the n is usually a fixed number pre-defined by the system according to some heuristic criteria (e.g., page size, screen size). there is one major assumption underlying this fixed-number recommendation scheme, i.e., there are always sufficient relevant items to users' preferences. unfortunately, this assumption may not always hold in real-world scenarios. in some applications, there might be very limited candidate items to recommend, and some users may have very high relevance requirement in recommendation. in this way, even the top-1 ranked item may not be relevant to a user's preference. therefore, we argue that it is critical to provide a dynamic-k recommendation, where the k should be different with respect to the candidate item set and the target user. we formulate this dynamic-k recommendation task as a joint learning problem with both ranking and classification objectives. the ranking objective is the same as existing methods, i.e., to create a ranking list of items according to users' interests. the classification objective is unique in this work, which aims to learn a personalized decision boundary to differentiate the relevant items from irrelevant items. based on these ideas, we extend two state-of-the-art ranking-based recommendation methods, i.e., bprmf and hrm, to the corresponding dynamic-k versions, namely dk-bprmf and dk-hrm. our experimental results on two datasets show that the dynamic-k models are more effective than the original fixed-n recommendation methods."
David Restrepo Amariles,David Restrepo Amariles,1,http://arxiv.org/abs/2012.12718v1,cs.AI;cs.LG,"compliance generation for privacy documents under gdpr: a roadmap for implementing automation and machine learning. most prominent research today addresses compliance with data protection laws through consumer-centric and public-regulatory approaches. we shift this perspective with the privatech project to focus on corporations and law firms as agents of compliance. to comply with data protection laws, data processors must implement accountability measures to assess and document compliance in relation to both privacy documents and privacy practices. in this paper, we survey, on the one hand, current research on gdpr automation, and on the other hand, the operational challenges corporations face to comply with gdpr, and that may benefit from new forms of automation. we attempt to bridge the gap. we provide a roadmap for compliance assessment and generation by identifying compliance issues, breaking them down into tasks that can be addressed through machine learning and automation, and providing notes about related developments in the privatech project."
